School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Longitude,Latitude
Stanford University,California,"$70,400","$129,000","$68,400","$93,100","$184,000","$257,000",-122.164434,37.429532
California Institute of Technology (CIT),California,"$75,500","$123,000",N/A,"$104,000","$161,000",N/A,-118.12574,34.139275
Harvey Mudd College,California,"$71,800","$122,000",N/A,"$96,000","$180,000",N/A,-117.710594,34.106137
"University of California, Berkeley",California,"$59,900","$112,000","$59,500","$81,000","$149,000","$201,000",-122.260463,37.871918
Occidental College,California,"$51,900","$105,000",N/A,"$54,800","$157,000",N/A,-118.210783,34.126224
"California Polytechnic State University, San Luis Obispo",California,"$57,200","$101,000","$55,000","$74,700","$133,000","$178,000",-120.657311,35.299513
University of California at Los Angeles (UCLA),California,"$52,600","$101,000","$51,300","$72,500","$139,000","$193,000",-118.443901,34.068892
"University of California, San Diego (UCSD)",California,"$51,100","$101,000","$51,700","$75,400","$131,000","$177,000",-117.237793,32.876598
Pomona College,California,"$48,600","$101,000",N/A,"$63,300","$161,000",N/A,-117.711944,34.098298
University of Southern California (USC),California,"$54,800","$99,600","$49,700","$73,800","$140,000","$201,000",-118.284169,34.021281
"University of California, Davis",California,"$52,300","$99,600","$52,000","$71,600","$135,000","$202,000",-121.751958,38.539895
"University of California, Irvine (UCI)",California,"$48,300","$96,700","$47,800","$66,000","$123,000","$172,000",-117.841248,33.648434
San Jose State University (SJSU),California,"$53,500","$95,600","$50,700","$70,500","$122,000","$156,000",-121.880621,37.336569
"University of California, Santa Barbara (UCSB)",California,"$50,500","$95,000","$51,300","$71,200","$129,000","$173,000",-119.846426,34.416297
"California State University (CSU), Chico",California,"$47,400","$88,100","$46,800","$62,800","$122,000","$154,000",-121.844859,39.729712
"California State University, Fullerton (CSUF)",California,"$45,700","$87,000","$45,400","$62,500","$119,000","$158,000",-117.885349,33.883627
San Francisco State University (SFSU),California,"$47,300","$86,400","$45,100","$62,700","$114,000","$150,000",-122.477905,37.721345
San Diego State University (SDSU),California,"$46,200","$85,200","$45,500","$61,800","$116,000","$158,000",-117.071228,32.77525
"California State University, Long Beach (CSULB)",California,"$45,100","$84,700","$47,400","$62,500","$113,000","$154,000",-118.11204,33.782818
"California State University, East Bay (CSUEB)",California,"$49,200","$84,300","$46,000","$62,400","$115,000","$155,000",-122.058073,37.65707
"University of California, Santa Cruz (UCSC)",California,"$44,700","$84,100","$46,100","$62,000","$121,000","$165,000",-122.058801,36.995584
"California State University, Sacramento (CSUS)",California,"$47,800","$82,400","$42,900","$59,600","$111,000","$154,000",-121.42194,38.55745
"University of California, Riverside (UCR)",California,"$46,800","$81,300","$37,200","$59,900","$109,000","$134,000",-117.331098,33.97588
"California State University, Northridge (CSUN)",California,"$45,500","$80,400","$44,500","$57,800","$108,000","$153,000",-118.526817,34.23671
"California State University, Dominguez Hills (CSUDH)",California,"$42,700","$72,100","$30,800","$47,000","$92,200","$132,000",-118.259316,33.86524
"California State University (CSU), Stanislaus",California,"$38,000","$71,400",N/A,"$50,500","$94,100",N/A,-120.852511,37.52577
Humboldt State University,California,"$42,600","$71,300","$36,000","$56,300","$94,400","$117,000",-124.0814,40.8741
Thomas Aquinas College,California,"$41,500","$67,500",N/A,"$44,600","$93,100",N/A,-119.087141,34.429009
Colorado School of Mines,Western,"$58,100","$106,000","$62,200","$87,900","$142,000","$201,000",-105.227148,39.75079
University of Colorado - Boulder (UCB),Western,"$47,100","$97,600","$51,600","$69,000","$128,000","$187,000",-105.270823,40.008781
New Mexico Institute of Mining and Technology (New Mexico Tech),Western,"$51,000","$93,400",N/A,"$67,400","$123,000",N/A,-106.907491,34.066035
Brigham Young University (BYU),Western,"$49,400","$88,600","$50,600","$68,500","$119,000","$164,000",-111.649281,40.250851
University of Arizona,Western,"$47,500","$86,100","$44,800","$61,700","$117,000","$160,000",-110.950815,32.232672
University of Washington (UW),Western,"$48,800","$85,300","$47,000","$59,800","$115,000","$149,000",-122.313115,47.656213
Washington State University (WSU),Western,"$45,300","$84,700","$43,600","$59,000","$113,000","$162,000",-117.158168,46.730448
University of Colorado - Denver,Western,"$46,100","$84,400","$46,400","$58,600","$105,000","$144,000",-104.837722,39.745149
Arizona State University (ASU),Western,"$47,400","$84,100","$44,600","$60,700","$114,000","$163,000",-111.934383,33.417721
Oregon State University (OSU),Western,"$45,100","$83,300","$46,900","$64,000","$113,000","$146,000",-123.274723,44.56395
University of Utah,Western,"$45,400","$83,200","$43,000","$58,400","$116,000","$148,000",-111.846044,40.762484
"University of Nevada, Reno (UNR)",Western,"$46,500","$82,900","$41,900","$54,600","$113,000","$143,000",-119.815377,39.543642
Seattle University,Western,"$48,300","$82,800","$50,600","$62,400","$110,000","$150,000",-122.3197,47.610138
University of Idaho,Western,"$44,900","$82,000","$43,000","$56,700","$104,000","$142,000",-117.024296,46.726894
University of New Mexico (UNM),Western,"$41,600","$81,600","$41,800","$59,100","$105,000","$141,000",-106.620155,35.083868
University of Puget Sound,Western,"$46,600","$81,500","$48,900","$60,100","$104,000","$137,000",-122.479714,47.263651
Colorado College (CC),Western,"$38,500","$81,400",N/A,"$43,000","$148,000",N/A,-104.822697,38.84886
Reed College,Western,"$40,500","$81,100",N/A,"$67,400","$101,000",N/A,-122.63064,45.480376
Whitman College,Western,"$43,500","$80,100",N/A,"$64,800","$111,000",N/A,-118.33016,46.07135
New Mexico State University,Western,"$44,300","$79,500","$37,400","$53,800","$102,000","$131,000",-106.752069,32.281568
Colorado State University (CSU),Western,"$44,800","$79,000","$43,800","$57,100","$112,000","$150,000",-104.898261,39.60942
University of Wyoming (UW),Western,"$44,500","$78,700","$41,500","$54,000","$105,000","$145,000",-105.57931,41.311773
Utah State University,Western,"$43,800","$78,700","$41,600","$55,400","$101,000","$132,000",-111.81391,41.740748
University of Oregon,Western,"$42,200","$78,400","$38,100","$56,200","$117,000","$186,000",-123.075792,44.045146
Montana State University - Bozeman,Western,"$46,600","$77,500","$40,200","$58,100","$111,000","$151,000",-111.048812,45.666726
Gonzaga University,Western,"$44,900","$76,000","$47,000","$57,400","$103,000","$138,000",-117.403062,47.668144
University of Hawaii,Western,"$43,800","$76,000","$40,400","$56,300","$104,000","$128,000",-157.818979,21.298598
Western Washington University,Western,"$42,700","$75,400","$41,300","$56,700","$99,200","$119,000",-122.484873,48.737236
Regis University,Western,"$48,300","$73,800","$41,000","$55,500","$94,800","$117,000",-105.031385,39.78976
Idaho State University,Western,"$44,900","$73,400","$35,400","$49,600","$101,000","$143,000",-112.429084,42.864108
"University of Alaska, Anchorage",Western,"$45,900","$72,600","$39,800","$56,600","$99,300","$137,000",-149.82619,61.190163
Lewis & Clark College,Western,"$38,900","$72,600","$38,200","$53,400","$104,000","$140,000",-122.672478,45.450547
University of Montana,Western,"$37,300","$71,900","$37,000","$51,500","$96,400","$138,000",-113.982912,46.859312
"University of Nevada, Las Vegas (UNLV)",Western,"$45,200","$71,600","$39,000","$52,400","$100,000","$128,000",-115.141153,36.106994
Portland State University (PSU),Western,"$42,600","$70,900","$40,700","$52,300","$94,400","$123,000",-122.683553,45.511229
Eastern Washington University,Western,"$38,600","$70,900","$36,000","$50,500","$93,100","$117,000",-117.583808,47.490667
Fort Lewis College,Western,"$42,000","$69,800",N/A,"$55,000","$94,000",N/A,-107.867003,37.275428
Boise State University (BSU),Western,"$40,800","$69,500","$37,400","$48,700","$87,500","$110,000",-116.205789,43.604403
Utah Valley State College,Western,"$42,400","$67,100",N/A,"$44,100","$84,900",N/A,-111.717058,40.278512
Evergreen State College,Western,"$39,500","$63,900","$38,800","$47,200","$91,600","$120,000",-122.977492,47.07382
Southern Utah University,Western,"$41,900","$56,500",N/A,"$39,700","$78,400",N/A,-113.070146,37.674617
Montana State University - Billings,Western,"$37,900","$50,600",N/A,"$31,800","$78,500",N/A,-108.523009,45.796896
University of Notre Dame,Midwestern,"$56,300","$116,000","$66,400","$85,100","$163,000","$235,000",-86.238959,41.703058
University Of Chicago,Midwestern,"$53,400","$113,000","$62,200","$83,300","$174,000","$255,000",-87.601196,41.78917
Carleton College,Midwestern,"$47,500","$103,000",N/A,"$69,400","$141,000",N/A,-93.154662,44.462304
Illinois Institute of Technology (IIT),Midwestern,"$56,000","$97,800","$56,100","$77,400","$121,000","$165,000",-87.627321,41.8313
Case Western Reserve University,Midwestern,"$56,200","$96,500","$54,900","$76,500","$123,000","$168,000",-81.605769,41.500812
University of Illinois at Urbana-Champaign (UIUC),Midwestern,"$52,900","$96,100","$48,200","$68,900","$132,000","$177,000",-88.230309,40.108864
Northwestern University,Midwestern,"$52,700","$95,900","$51,900","$69,100","$144,000","$205,000",-87.679858,42.050356
University of Missouri - Rolla (UMR),Midwestern,"$57,100","$95,800","$67,600","$80,400","$122,000","$166,000",-91.775583,37.953426
